City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,thinadhoo,0.5333,72.9333,27.23,76,73,2.84,MV,1738530910
288,ancud,-41.8697,-73.8203,15.21,56,67,3.98,CL,1738530911
289,sedrata,36.1287,7.5338,4.44,90,8,1.02,DZ,1738530869
290,new norfolk,-42.7826,147.0587,18.84,62,32,1.06,AU,1738530913
291,west monroe,32.5185,-92.1476,23.0,33,0,2.57,US,1738530916
292,hamilton,39.1834,-84.5333,14.47,66,75,4.63,US,1738530765
293,marion,39.7684,-86.1555,12.41,69,75,4.63,US,1738530864
294,sirur,18.8333,74.3833,23.75,33,100,2.4,IN,1738530920
295,mana,5.6592,-53.7767,26.14,79,52,4.37,GF,1738530921
296,vadso,70.0744,29.7487,-3.91,68,40,8.23,NO,1738530923
297,kenai,60.5544,-151.2583,-7.7,76,0,1.54,US,1738530924
298,road town,18.4167,-64.6167,26.02,78,40,3.6,VG,1738530925
299,atherton,53.5237,-2.4935,6.83,65,83,1.79,GB,1738530926
300,san antonio de pale,-1.4014,5.6325,27.68,72,36,0.62,GQ,1738530927
301,necochea,-38.5473,-58.7368,35.78,26,77,7.13,AR,1738530902
302,caxias do sul,-29.1681,-51.1794,24.27,68,93,1.36,BR,1738530931
303,timbiqui,2.7717,-77.6654,26.41,90,100,2.87,CO,1738530916
304,polatli,39.5772,32.1413,5.11,69,83,0.9,TR,1738530933
305,quellon,-43.1167,-73.6167,13.96,61,96,1.08,CL,1738530878
306,fortaleza,-3.7227,-38.5247,29.07,74,20,5.14,BR,1738530784
307,guiuan,11.0333,125.7247,26.72,79,82,4.58,PH,1738530937
308,norilsk,69.3535,88.2027,-27.71,87,63,1.32,RU,1738530938
309,gobabis,-22.45,18.9667,24.33,50,60,8.48,NA,1738530939
310,buarcos,40.166,-8.8768,12.19,59,100,11.71,PT,1738530940
311,whitby,54.4877,-0.615,4.37,83,92,1.34,GB,1738530942
312,hong kong,22.2855,114.1577,17.36,92,100,6.71,HK,1738530381
313,aasiaat,68.7098,-52.8699,-22.87,98,100,1.4,GL,1738530910
314,djibouti,11.5,42.5,19.97,77,100,6.45,DJ,1738530945
315,meads,38.4126,-82.7091,17.25,50,20,7.15,US,1738530946
316,tofol,5.3248,163.0078,27.64,80,100,8.99,FM,1738530948
317,san rafael,-34.6177,-68.3301,37.55,20,41,5.83,AR,1738530949
318,maryville,35.7565,-83.9705,19.06,49,20,6.17,US,1738530810
319,kismayo,-0.3582,42.5454,24.39,85,92,8.23,SO,1738530951
320,natal,-5.795,-35.2094,28.36,74,40,4.63,BR,1738530768
321,bam,29.106,58.357,7.01,43,19,1.08,IR,1738530954
322,rio preto da eva,-2.6994,-59.6997,30.69,56,84,1.2,BR,1738530955
323,fuxin,42.0156,121.6589,-13.48,61,33,3.21,CN,1738530956
324,brasilia,-15.7797,-47.9297,23.51,73,75,3.09,BR,1738530810
325,utrik,11.2278,169.8474,26.36,77,20,11.3,MH,1738530960
326,vorgashor,67.5833,63.95,-27.8,87,7,3.39,RU,1738530961
327,salekhard,66.53,66.6019,-26.06,89,75,6.83,RU,1738530962
328,kabalo,-6.05,26.9167,22.55,95,100,1.12,CD,1738530963
